prompt,category,prompt_clean
"""Write a compelling science fiction short story about a highly advanced robot named AURA (Artificial Unit for Realistic Affection) who has served humanity for decades and begins to develop a desire to become human. The story should explore AURA's inner thoughts, emotional awakening, and the philosophical questions it wrestles with — including what it means to have a soul, to love, and to suffer. Introduce a key human character (a scientist, a child, or a friend) who influences AURA’s journey. The story should be rich in emotional depth, include moments of reflection, a turning point or conflict, and an impactful ending that leaves the reader thinking about the boundary between artificial and real life. Aim for at least 500 words.",writing,write a compelling science fiction short story about a highly advanced robot named aura artificial unit for realistic affection who has served humanity for decades and begins to develop a desire to become human the story should explore auras inner thoughts emotional awakening and the philosophical questions it wrestles with including what it means to have a soul to love and to suffer introduce a key human character a scientist a child or a friend who influences auras journey the story should be rich in emotional depth include moments of reflection a turning point or conflict and an impactful ending that leaves the reader thinking about the boundary between artificial and real life aim for at least words
"You're a brand strategist hired to help rebrand a struggling tech startup that builds AI-powered to-do list apps. Create a new name, a compelling brand mission, a slogan, and a 3-point marketing pitch aimed at Gen Z freelancers. The rebrand should feel fresh, minimalistic, and emotionally appealing, while addressing user pain points like overwhelm and digital burnout.",business,youre a brand strategist hired to help rebrand a struggling tech startup that builds aipowered todo list apps create a new name a compelling brand mission a slogan and a point marketing pitch aimed at gen z freelancers the rebrand should feel fresh minimalistic and emotionally appealing while addressing user pain points like overwhelm and digital burnout
"Write a Socratic-style dialogue between a philosopher and a teenager who spends 8+ hours a day on social media. The philosopher should challenge the teen's assumptions while encouraging critical thinking about autonomy, happiness, and attention. The dialogue should be intellectually engaging but accessible.",education,write a socraticstyle dialogue between a philosopher and a teenager who spends hours a day on social media the philosopher should challenge the teens assumptions while encouraging critical thinking about autonomy happiness and attention the dialogue should be intellectually engaging but accessible
prompt 1,misc,prompt
"Write a detailed blog post about the current trends in artificial intelligence. Start with an introduction to AI and its growing impact across industries. Discuss the latest technologies, including machine learning, deep learning, and natural language processing. Include real-world applications in healthcare, finance, and education. Explain potential risks and ethical considerations surrounding AI. Highlight how businesses are leveraging AI to improve productivity and innovation. Offer insights into AI startups and emerging tools in the market. Provide examples of successful AI implementations and case studies. Suggest future developments and opportunities for AI research. Conclude with a summary of the key takeaways for readers seeking to understand AI today.",writing,write a detailed blog post about the current trends in artificial intelligence start with an introduction to ai and its growing impact across industries discuss the latest technologies including machine learning deep learning and natural language processing include realworld applications in healthcare finance and education explain potential risks and ethical considerations surrounding ai highlight how businesses are leveraging ai to improve productivity and innovation offer insights into ai startups and emerging tools in the market provide examples of successful ai implementations and case studies suggest future developments and opportunities for ai research conclude with a summary of the key takeaways for readers seeking to understand ai today
"Write a detailed blog post about the current trends in artificial intelligence. Start with an introduction to AI and its growing impact across industries. Discuss the latest technologies, including machine learning, deep learning, and natural language processing. Include real-world applications in healthcare, finance, and education. Explain potential risks and ethical considerations surrounding AI. Highlight how businesses are leveraging AI to improve productivity and innovation. Offer insights into AI startups and emerging tools in the market. Provide examples of successful AI implementations and case studies. Suggest future developments and opportunities for AI research. Conclude with a summary of the key takeaways for readers seeking to understand AI today.",writing,write a detailed blog post about the current trends in artificial intelligence start with an introduction to ai and its growing impact across industries discuss the latest technologies including machine learning deep learning and natural language processing include realworld applications in healthcare finance and education explain potential risks and ethical considerations surrounding ai highlight how businesses are leveraging ai to improve productivity and innovation offer insights into ai startups and emerging tools in the market provide examples of successful ai implementations and case studies suggest future developments and opportunities for ai research conclude with a summary of the key takeaways for readers seeking to understand ai today
"Create a professional resume for a software engineer with 5 years of experience. Include personal details, a professional summary, core skills, technical proficiencies, key achievements, project experience with detailed descriptions, education background, certifications, and relevant extracurricular activities. Ensure the resume is ATS-friendly, formatted cleanly, and highlights the candidate's expertise. Add a cover letter section introducing the candidate and their motivation for the desired role. Include tips for customization for specific job applications and how to optimize keywords for job portals.",business,create a professional resume for a software engineer with years of experience include personal details a professional summary core skills technical proficiencies key achievements project experience with detailed descriptions education background certifications and relevant extracurricular activities ensure the resume is atsfriendly formatted cleanly and highlights the candidates expertise add a cover letter section introducing the candidate and their motivation for the desired role include tips for customization for specific job applications and how to optimize keywords for job portals
"Design a visually appealing poster for an upcoming music festival. Include the festival name, date, location, and featured artists. Use vibrant colors, eye-catching typography, and thematic graphics to attract attendees. Include ticketing information, sponsors, and social media handles. Create multiple versions suitable for print and digital sharing. Ensure accessibility for colorblind viewers. Highlight any special events or experiences happening during the festival. Add a section for QR code for online ticket purchases. Provide a mockup presentation showing poster placement in public spaces. Write a short description to accompany the poster for social media promotion.",design,design a visually appealing poster for an upcoming music festival include the festival name date location and featured artists use vibrant colors eyecatching typography and thematic graphics to attract attendees include ticketing information sponsors and social media handles create multiple versions suitable for print and digital sharing ensure accessibility for colorblind viewers highlight any special events or experiences happening during the festival add a section for qr code for online ticket purchases provide a mockup presentation showing poster placement in public spaces write a short description to accompany the poster for social media promotion
"Teach the fundamentals of Python programming to beginners. Start with setting up the Python environment and installing necessary tools. Explain basic syntax, variables, data types, and operators. Include control flow statements like loops and conditionals. Demonstrate functions, modules, and file handling. Incorporate practical examples like simple calculators, text processing, and data manipulation tasks. Include exercises at the end of each section with solutions. Offer guidance on best coding practices and debugging techniques. Provide a small project at the end integrating all learned concepts. Suggest next steps for learning advanced topics and libraries.",education,teach the fundamentals of python programming to beginners start with setting up the python environment and installing necessary tools explain basic syntax variables data types and operators include control flow statements like loops and conditionals demonstrate functions modules and file handling incorporate practical examples like simple calculators text processing and data manipulation tasks include exercises at the end of each section with solutions offer guidance on best coding practices and debugging techniques provide a small project at the end integrating all learned concepts suggest next steps for learning advanced topics and libraries
"Write a research paper abstract on climate change impacts in urban areas. Summarize key findings from recent studies on temperature rise, air pollution, and urban heat islands. Highlight the methodology used for data collection and analysis. Include statistics and observed trends. Discuss social, economic, and environmental consequences of climate change in cities. Suggest mitigation strategies like green infrastructure, sustainable transport, and policy recommendations. Include references to key studies and reports. Emphasize the novelty of the research findings. Provide a concise conclusion with potential areas for further research. Ensure clarity and scientific accuracy throughout the abstract.",research,write a research paper abstract on climate change impacts in urban areas summarize key findings from recent studies on temperature rise air pollution and urban heat islands highlight the methodology used for data collection and analysis include statistics and observed trends discuss social economic and environmental consequences of climate change in cities suggest mitigation strategies like green infrastructure sustainable transport and policy recommendations include references to key studies and reports emphasize the novelty of the research findings provide a concise conclusion with potential areas for further research ensure clarity and scientific accuracy throughout the abstract
