prompt,category
"""Write a compelling science fiction short story about a highly advanced robot named AURA (Artificial Unit for Realistic Affection) who has served humanity for decades and begins to develop a desire to become human. The story should explore AURA's inner thoughts, emotional awakening, and the philosophical questions it wrestles with — including what it means to have a soul, to love, and to suffer. Introduce a key human character (a scientist, a child, or a friend) who influences AURA’s journey. The story should be rich in emotional depth, include moments of reflection, a turning point or conflict, and an impactful ending that leaves the reader thinking about the boundary between artificial and real life. Aim for at least 500 words.",writing
"You're a brand strategist hired to help rebrand a struggling tech startup that builds AI-powered to-do list apps. Create a new name, a compelling brand mission, a slogan, and a 3-point marketing pitch aimed at Gen Z freelancers. The rebrand should feel fresh, minimalistic, and emotionally appealing, while addressing user pain points like overwhelm and digital burnout.",business
"Write a Socratic-style dialogue between a philosopher and a teenager who spends 8+ hours a day on social media. The philosopher should challenge the teen's assumptions while encouraging critical thinking about autonomy, happiness, and attention. The dialogue should be intellectually engaging but accessible.",education
prompt 1,misc
"Write a detailed blog post about the current trends in artificial intelligence. Start with an introduction to AI and its growing impact across industries. Discuss the latest technologies, including machine learning, deep learning, and natural language processing. Include real-world applications in healthcare, finance, and education. Explain potential risks and ethical considerations surrounding AI. Highlight how businesses are leveraging AI to improve productivity and innovation. Offer insights into AI startups and emerging tools in the market. Provide examples of successful AI implementations and case studies. Suggest future developments and opportunities for AI research. Conclude with a summary of the key takeaways for readers seeking to understand AI today.",writing
"Write a detailed blog post about the current trends in artificial intelligence. Start with an introduction to AI and its growing impact across industries. Discuss the latest technologies, including machine learning, deep learning, and natural language processing. Include real-world applications in healthcare, finance, and education. Explain potential risks and ethical considerations surrounding AI. Highlight how businesses are leveraging AI to improve productivity and innovation. Offer insights into AI startups and emerging tools in the market. Provide examples of successful AI implementations and case studies. Suggest future developments and opportunities for AI research. Conclude with a summary of the key takeaways for readers seeking to understand AI today.",writing
"Create a professional resume for a software engineer with 5 years of experience. Include personal details, a professional summary, core skills, technical proficiencies, key achievements, project experience with detailed descriptions, education background, certifications, and relevant extracurricular activities. Ensure the resume is ATS-friendly, formatted cleanly, and highlights the candidate's expertise. Add a cover letter section introducing the candidate and their motivation for the desired role. Include tips for customization for specific job applications and how to optimize keywords for job portals.",business
"Design a visually appealing poster for an upcoming music festival. Include the festival name, date, location, and featured artists. Use vibrant colors, eye-catching typography, and thematic graphics to attract attendees. Include ticketing information, sponsors, and social media handles. Create multiple versions suitable for print and digital sharing. Ensure accessibility for colorblind viewers. Highlight any special events or experiences happening during the festival. Add a section for QR code for online ticket purchases. Provide a mockup presentation showing poster placement in public spaces. Write a short description to accompany the poster for social media promotion.",design
"Teach the fundamentals of Python programming to beginners. Start with setting up the Python environment and installing necessary tools. Explain basic syntax, variables, data types, and operators. Include control flow statements like loops and conditionals. Demonstrate functions, modules, and file handling. Incorporate practical examples like simple calculators, text processing, and data manipulation tasks. Include exercises at the end of each section with solutions. Offer guidance on best coding practices and debugging techniques. Provide a small project at the end integrating all learned concepts. Suggest next steps for learning advanced topics and libraries.",education
"Write a research paper abstract on climate change impacts in urban areas. Summarize key findings from recent studies on temperature rise, air pollution, and urban heat islands. Highlight the methodology used for data collection and analysis. Include statistics and observed trends. Discuss social, economic, and environmental consequences of climate change in cities. Suggest mitigation strategies like green infrastructure, sustainable transport, and policy recommendations. Include references to key studies and reports. Emphasize the novelty of the research findings. Provide a concise conclusion with potential areas for further research. Ensure clarity and scientific accuracy throughout the abstract.",research
"Generate an image of a futuristic city skyline at sunset. Include tall, sleek skyscrapers with glowing lights, flying vehicles, and holographic advertisements. Use realistic lighting with reflections on water bodies. Add streets bustling with futuristic pedestrians and robots. Incorporate elements of greenery such as rooftop gardens. Highlight a central landmark building that draws focus. Include atmospheric effects like haze or light fog for depth. Create multiple angles to showcase the skyline. Ensure the scene has a cinematic and immersive quality. Provide a brief description of the technology and materials imagined in the city.",art
"Create a social media marketing campaign for an eco-friendly product. Outline campaign objectives, target audience, key messaging, and visual style. Develop content ideas for posts, stories, and videos across platforms. Schedule a posting calendar with frequency and timings. Include engagement strategies such as contests, challenges, and user-generated content. Highlight unique selling points of the product. Suggest influencer collaborations and partnerships. Define metrics to measure campaign success. Draft example captions and hashtags. Conclude with recommendations for continuous optimization based on analytics.",marketing
"Design a book cover for a mystery novel set in Victorian London. Use dark and moody color palettes with shadows and fog. Include iconic elements like gas lamps, cobblestone streets, and horse-drawn carriages. Feature the protagonist subtly in the background or silhouette. Add intricate typography for the title and author name. Ensure the design conveys suspense and intrigue. Include a back cover with a synopsis and space for publisher information. Prepare a spine design for print editions. Provide digital mockups for e-book platforms. Suggest variations suitable for social media teasers.",design
"Write a detailed tutorial on data visualization using Python. Cover libraries such as matplotlib, seaborn, and plotly. Explain plotting different chart types: line, bar, scatter, histogram, and heatmap. Include examples using real datasets. Teach customization of charts: colors, labels, titles, and legends. Demonstrate how to combine multiple plots in a figure. Explain interactive visualizations and exporting images. Include exercises with solutions for practice. Discuss best practices in presenting data clearly and accurately. Conclude with resources for further learning and advanced visualization techniques.",education
"Generate an AI artwork of a serene mountain landscape at dawn. Include snow-capped peaks, reflective lakes, and lush forests. Add realistic morning light with subtle fog. Incorporate wildlife like deer or birds in the scene. Ensure balanced composition and depth. Use soft color gradients for the sky. Highlight reflections and water ripples realistically. Include pathways or trails to add scale. Provide multiple perspectives and zoom levels. Write a short description capturing the mood and inspiration behind the artwork.",art
"Write a detailed blog post about the current trends in artificial intelligence. Start with an introduction to AI and its growing impact across industries. Discuss the latest technologies, including machine learning, deep learning, and natural language processing. Include real-world applications in healthcare, finance, and education. Explain potential risks and ethical considerations surrounding AI. Highlight how businesses are leveraging AI to improve productivity and innovation. Offer insights into AI startups and emerging tools in the market. Provide examples of successful AI implementations and case studies. Suggest future developments and opportunities for AI research. Conclude with a summary of the key takeaways for readers seeking to understand AI today.",writing
"Create a professional resume for a software engineer with 5 years of experience. Include personal details, a professional summary, core skills, technical proficiencies, key achievements, project experience with detailed descriptions, education background, certifications, and relevant extracurricular activities. Ensure the resume is ATS-friendly, formatted cleanly, and highlights the candidate's expertise. Add a cover letter section introducing the candidate and their motivation for the desired role. Include tips for customization for specific job applications and how to optimize keywords for job portals.",business
"Design a visually appealing poster for an upcoming music festival. Include the festival name, date, location, and featured artists. Use vibrant colors, eye-catching typography, and thematic graphics to attract attendees. Include ticketing information, sponsors, and social media handles. Create multiple versions suitable for print and digital sharing. Ensure accessibility for colorblind viewers. Highlight any special events or experiences happening during the festival. Add a section for QR code for online ticket purchases. Provide a mockup presentation showing poster placement in public spaces. Write a short description to accompany the poster for social media promotion.",design
"Teach the fundamentals of Python programming to beginners. Start with setting up the Python environment and installing necessary tools. Explain basic syntax, variables, data types, and operators. Include control flow statements like loops and conditionals. Demonstrate functions, modules, and file handling. Incorporate practical examples like simple calculators, text processing, and data manipulation tasks. Include exercises at the end of each section with solutions. Offer guidance on best coding practices and debugging techniques. Provide a small project at the end integrating all learned concepts. Suggest next steps for learning advanced topics and libraries.",education
"Write a research paper abstract on climate change impacts in urban areas. Summarize key findings from recent studies on temperature rise, air pollution, and urban heat islands. Highlight the methodology used for data collection and analysis. Include statistics and observed trends. Discuss social, economic, and environmental consequences of climate change in cities. Suggest mitigation strategies like green infrastructure, sustainable transport, and policy recommendations. Include references to key studies and reports. Emphasize the novelty of the research findings. Provide a concise conclusion with potential areas for further research. Ensure clarity and scientific accuracy throughout the abstract.",research
"Generate an image of a futuristic city skyline at sunset. Include tall, sleek skyscrapers with glowing lights, flying vehicles, and holographic advertisements. Use realistic lighting with reflections on water bodies. Add streets bustling with futuristic pedestrians and robots. Incorporate elements of greenery such as rooftop gardens. Highlight a central landmark building that draws focus. Include atmospheric effects like haze or light fog for depth. Create multiple angles to showcase the skyline. Ensure the scene has a cinematic and immersive quality. Provide a brief description of the technology and materials imagined in the city.",art
"Create a social media marketing campaign for an eco-friendly product. Outline campaign objectives, target audience, key messaging, and visual style. Develop content ideas for posts, stories, and videos across platforms. Schedule a posting calendar with frequency and timings. Include engagement strategies such as contests, challenges, and user-generated content. Highlight unique selling points of the product. Suggest influencer collaborations and partnerships. Define metrics to measure campaign success. Draft example captions and hashtags. Conclude with recommendations for continuous optimization based on analytics.",marketing
"Design a book cover for a mystery novel set in Victorian London. Use dark and moody color palettes with shadows and fog. Include iconic elements like gas lamps, cobblestone streets, and horse-drawn carriages. Feature the protagonist subtly in the background or silhouette. Add intricate typography for the title and author name. Ensure the design conveys suspense and intrigue. Include a back cover with a synopsis and space for publisher information. Prepare a spine design for print editions. Provide digital mockups for e-book platforms. Suggest variations suitable for social media teasers.",design
"Write a detailed tutorial on data visualization using Python. Cover libraries such as matplotlib, seaborn, and plotly. Explain plotting different chart types: line, bar, scatter, histogram, and heatmap. Include examples using real datasets. Teach customization of charts: colors, labels, titles, and legends. Demonstrate how to combine multiple plots in a figure. Explain interactive visualizations and exporting images. Include exercises with solutions for practice. Discuss best practices in presenting data clearly and accurately. Conclude with resources for further learning and advanced visualization techniques.",education
"Generate an AI artwork of a serene mountain landscape at dawn. Include snow-capped peaks, reflective lakes, and lush forests. Add realistic morning light with subtle fog. Incorporate wildlife like deer or birds in the scene. Ensure balanced composition and depth. Use soft color gradients for the sky. Highlight reflections and water ripples realistically. Include pathways or trails to add scale. Provide multiple perspectives and zoom levels. Write a short description capturing the mood and inspiration behind the artwork.",art
"Write a detailed blog post about the current trends in artificial intelligence. Start with an introduction to AI and its growing impact across industries. Discuss the latest technologies, including machine learning, deep learning, and natural language processing. Include real-world applications in healthcare, finance, and education. Explain potential risks and ethical considerations surrounding AI. Highlight how businesses are leveraging AI to improve productivity and innovation. Offer insights into AI startups and emerging tools in the market. Provide examples of successful AI implementations and case studies. Suggest future developments and opportunities for AI research. Conclude with a summary of the key takeaways for readers seeking to understand AI today.",writing
"Create a professional resume for a software engineer with 5 years of experience. Include personal details, a professional summary, core skills, technical proficiencies, key achievements, project experience with detailed descriptions, education background, certifications, and relevant extracurricular activities. Ensure the resume is ATS-friendly, formatted cleanly, and highlights the candidate's expertise. Add a cover letter section introducing the candidate and their motivation for the desired role. Include tips for customization for specific job applications and how to optimize keywords for job portals.",business
"Design a visually appealing poster for an upcoming music festival. Include the festival name, date, location, and featured artists. Use vibrant colors, eye-catching typography, and thematic graphics to attract attendees. Include ticketing information, sponsors, and social media handles. Create multiple versions suitable for print and digital sharing. Ensure accessibility for colorblind viewers. Highlight any special events or experiences happening during the festival. Add a section for QR code for online ticket purchases. Provide a mockup presentation showing poster placement in public spaces. Write a short description to accompany the poster for social media promotion.",design
"Teach the fundamentals of Python programming to beginners. Start with setting up the Python environment and installing necessary tools. Explain basic syntax, variables, data types, and operators. Include control flow statements like loops and conditionals. Demonstrate functions, modules, and file handling. Incorporate practical examples like simple calculators, text processing, and data manipulation tasks. Include exercises at the end of each section with solutions. Offer guidance on best coding practices and debugging techniques. Provide a small project at the end integrating all learned concepts. Suggest next steps for learning advanced topics and libraries.",education
"Write a research paper abstract on climate change impacts in urban areas. Summarize key findings from recent studies on temperature rise, air pollution, and urban heat islands. Highlight the methodology used for data collection and analysis. Include statistics and observed trends. Discuss social, economic, and environmental consequences of climate change in cities. Suggest mitigation strategies like green infrastructure, sustainable transport, and policy recommendations. Include references to key studies and reports. Emphasize the novelty of the research findings. Provide a concise conclusion with potential areas for further research. Ensure clarity and scientific accuracy throughout the abstract.",research
"Generate an image of a futuristic city skyline at sunset. Include tall, sleek skyscrapers with glowing lights, flying vehicles, and holographic advertisements. Use realistic lighting with reflections on water bodies. Add streets bustling with futuristic pedestrians and robots. Incorporate elements of greenery such as rooftop gardens. Highlight a central landmark building that draws focus. Include atmospheric effects like haze or light fog for depth. Create multiple angles to showcase the skyline. Ensure the scene has a cinematic and immersive quality. Provide a brief description of the technology and materials imagined in the city.",art
"Create a social media marketing campaign for an eco-friendly product. Outline campaign objectives, target audience, key messaging, and visual style. Develop content ideas for posts, stories, and videos across platforms. Schedule a posting calendar with frequency and timings. Include engagement strategies such as contests, challenges, and user-generated content. Highlight unique selling points of the product. Suggest influencer collaborations and partnerships. Define metrics to measure campaign success. Draft example captions and hashtags. Conclude with recommendations for continuous optimization based on analytics.",marketing
"Design a book cover for a mystery novel set in Victorian London. Use dark and moody color palettes with shadows and fog. Include iconic elements like gas lamps, cobblestone streets, and horse-drawn carriages. Feature the protagonist subtly in the background or silhouette. Add intricate typography for the title and author name. Ensure the design conveys suspense and intrigue. Include a back cover with a synopsis and space for publisher information. Prepare a spine design for print editions. Provide digital mockups for e-book platforms. Suggest variations suitable for social media teasers.",design
"Write a detailed tutorial on data visualization using Python. Cover libraries such as matplotlib, seaborn, and plotly. Explain plotting different chart types: line, bar, scatter, histogram, and heatmap. Include examples using real datasets. Teach customization of charts: colors, labels, titles, and legends. Demonstrate how to combine multiple plots in a figure. Explain interactive visualizations and exporting images. Include exercises with solutions for practice. Discuss best practices in presenting data clearly and accurately. Conclude with resources for further learning and advanced visualization techniques.",education
"Generate an AI artwork of a serene mountain landscape at dawn. Include snow-capped peaks, reflective lakes, and lush forests. Add realistic morning light with subtle fog. Incorporate wildlife like deer or birds in the scene. Ensure balanced composition and depth. Use soft color gradients for the sky. Highlight reflections and water ripples realistically. Include pathways or trails to add scale. Provide multiple perspectives and zoom levels. Write a short description capturing the mood and inspiration behind the artwork.",art
